        x     y     z  size
119 -50.0 -30.0  90.0     7
393  50.0  70.0  70.0     8
466  90.0 -30.0  30.0     8
401  70.0 -90.0  30.0    10
224 -10.0 -10.0  90.0    10
121 -50.0 -10.0  30.0    10
247 -10.0  90.0  50.0    11
437  70.0  50.0  50.0    11
116 -50.0 -30.0  30.0    11
75  -70.0  10.0  10.0    11
19  -90.0 -30.0  90.0    11
430  70.0  30.0  10.0    11
405  70.0 -70.0  10.0    12
51  -70.0 -90.0  30.0    12
18  -90.0 -30.0  70.0    12
122 -50.0 -10.0  50.0    12
104 -50.0 -90.0  90.0    12
197 -30.0  90.0  50.0    12
476  90.0  10.0  30.0    12
10  -90.0 -50.0  10.0    12
226 -10.0  10.0  30.0    13
499  90.0  90.0  90.0    13
214 -10.0 -50.0  90.0    13
137 -50.0  50.0  50.0    13
407  70.0 -70.0  50.0    13
322  30.0 -10.0  50.0    13
319  30.0 -30.0  90.0    13
312  30.0 -50.0  50.0    13
117 -50.0 -30.0  50.0    13
440  70.0  70.0  10.0    13
297  10.0  90.0  50.0    13
330  30.0  30.0  10.0    13
368  50.0 -30.0  70.0    13
58  -70.0 -70.0  70.0    14
50  -70.0 -90.0  10.0    14
381  50.0  30.0  30.0    14
374  50.0 -10.0  90.0    14
41  -90.0  70.0  30.0    14
191 -30.0  70.0  30.0    14
292  10.0  70.0  50.0    14
472  90.0 -10.0  50.0    14
321  30.0 -10.0  30.0    14
221 -10.0 -10.0  30.0    14
227 -10.0  10.0  50.0    14
289  10.0  50.0  90.0    14
487  90.0  50.0  50.0    15
120 -50.0 -10.0  10.0    15
283  10.0  30.0  70.0    15
305  30.0 -70.0  10.0    15
146 -50.0  90.0  30.0    15
452  90.0 -90.0  50.0    15
293  10.0  70.0  70.0    15
434  70.0  30.0  90.0    15
85  -70.0  50.0  10.0    15
423  70.0 -10.0  70.0    15
88  -70.0  50.0  70.0    15
439  70.0  50.0  90.0    15
156 -30.0 -70.0  30.0    15
97  -70.0  90.0  50.0    15
164 -30.0 -50.0  90.0    15
48  -90.0  90.0  70.0    15
54  -70.0 -90.0  90.0    15
342  30.0  70.0  50.0    15
243 -10.0  70.0  70.0    15
178 -30.0  10.0  70.0    15
157 -30.0 -70.0  50.0    16
216 -10.0 -30.0  30.0    16
101 -50.0 -90.0  30.0    16
193 -30.0  70.0  70.0    16
233 -10.0  30.0  70.0    16
378  50.0  10.0  70.0    16
380  50.0  30.0  10.0    16
238 -10.0  50.0  70.0    16
108 -50.0 -70.0  70.0    16
416  70.0 -30.0  30.0    16
414  70.0 -50.0  90.0    16
336  30.0  50.0  30.0    16
264  10.0 -50.0  90.0    16
177 -30.0  10.0  50.0    16
262  10.0 -50.0  50.0    16
131 -50.0  30.0  30.0    16
258  10.0 -70.0  70.0    16
385  50.0  50.0  10.0    16
257  10.0 -70.0  50.0    16
326  30.0  10.0  30.0    16
212 -10.0 -50.0  50.0    16
148 -50.0  90.0  70.0    16
395  50.0  90.0  10.0    16
337  30.0  50.0  50.0    16
315  30.0 -30.0  10.0    16
369  50.0 -30.0  90.0    16
399  50.0  90.0  90.0    16
31  -90.0  30.0  30.0    16
474  90.0 -10.0  90.0    16
444  70.0  70.0  90.0    16
496  90.0  90.0  30.0    16
47  -90.0  90.0  50.0    16
76  -70.0  10.0  30.0    17
383  50.0  30.0  70.0    17
181 -30.0  30.0  30.0    17
17  -90.0 -30.0  50.0    17
274  10.0 -10.0  90.0    17
142 -50.0  70.0  50.0    17
269  10.0 -30.0  90.0    17
268  10.0 -30.0  70.0    17
409  70.0 -70.0  90.0    17
234 -10.0  30.0  90.0    17
69  -70.0 -30.0  90.0    17
173 -30.0 -10.0  70.0    17
55  -70.0 -70.0  10.0    17
235 -10.0  50.0  10.0    17
135 -50.0  50.0  10.0    17
13  -90.0 -50.0  70.0    17
282  10.0  30.0  50.0    17
316  30.0 -30.0  30.0    17
441  70.0  70.0  30.0    17
362  50.0 -50.0  50.0    17
22  -90.0 -10.0  50.0    17
38  -90.0  50.0  70.0    17
39  -90.0  50.0  90.0    17
199 -30.0  90.0  90.0    17
162 -30.0 -50.0  50.0    17
36  -90.0  50.0  30.0    17
263  10.0 -50.0  70.0    17
217 -10.0 -30.0  50.0    17
102 -50.0 -90.0  50.0    17
451  90.0 -90.0  30.0    17
4   -90.0 -90.0  90.0    17
147 -50.0  90.0  50.0    17
80  -70.0  30.0  10.0    17
458  90.0 -70.0  70.0    17
110 -50.0 -50.0  10.0    17
27  -90.0  10.0  50.0    17
138 -50.0  50.0  70.0    17
388  50.0  50.0  70.0    18
390  50.0  70.0  10.0    18
236 -10.0  50.0  30.0    18
340  30.0  70.0  10.0    18
299  10.0  90.0  90.0    18
171 -30.0 -10.0  30.0    18
174 -30.0 -10.0  90.0    18
176 -30.0  10.0  30.0    18
231 -10.0  30.0  30.0    18
338  30.0  50.0  70.0    18
229 -10.0  10.0  90.0    18
180 -30.0  30.0  10.0    18
376  50.0  10.0  30.0    18
465  90.0 -30.0  10.0    18
468  90.0 -30.0  70.0    18
349  30.0  90.0  90.0    18
370  50.0 -10.0  10.0    18
200 -10.0 -90.0  10.0    18
37  -90.0  50.0  50.0    18
386  50.0  50.0  30.0    18
456  90.0 -70.0  30.0    18
21  -90.0 -10.0  30.0    18
394  50.0  70.0  90.0    18
276  10.0  10.0  30.0    18
155 -30.0 -70.0  10.0    18
280  10.0  30.0  10.0    18
492  90.0  70.0  50.0    18
421  70.0 -10.0  30.0    18
284  10.0  30.0  90.0    18
5   -90.0 -70.0  10.0    18
105 -50.0 -70.0  10.0    18
433  70.0  30.0  70.0    18
291  10.0  70.0  30.0    18
424  70.0 -10.0  90.0    18
302  30.0 -90.0  50.0    18
90  -70.0  70.0  10.0    18
96  -70.0  90.0  30.0    18
427  70.0  10.0  50.0    18
296  10.0  90.0  30.0    18
497  90.0  90.0  50.0    18
71  -70.0 -10.0  30.0    18
270  10.0 -10.0  10.0    18
7   -90.0 -70.0  50.0    18
400  70.0 -90.0  10.0    18
333  30.0  30.0  70.0    18
332  30.0  30.0  50.0    18
254  10.0 -90.0  90.0    18
129 -50.0  10.0  90.0    18
15  -90.0 -30.0  10.0    18
140 -50.0  70.0  10.0    18
403  70.0 -90.0  70.0    18
355  50.0 -70.0  10.0    18
134 -50.0  30.0  90.0    18
130 -50.0  30.0  10.0    18
265  10.0 -30.0  10.0    18
348  30.0  90.0  70.0    19
481  90.0  30.0  30.0    19
351  50.0 -90.0  30.0    19
23  -90.0 -10.0  70.0    19
230 -10.0  30.0  10.0    19
341  30.0  70.0  30.0    19
242 -10.0  70.0  50.0    19
353  50.0 -90.0  70.0    19
215 -10.0 -30.0  10.0    19
344  30.0  70.0  90.0    19
290  10.0  70.0  10.0    19
219 -10.0 -30.0  90.0    19
9   -90.0 -70.0  90.0    19
304  30.0 -90.0  90.0    19
347  30.0  90.0  50.0    19
222 -10.0 -10.0  50.0    19
11  -90.0 -50.0  30.0    19
225 -10.0  10.0  10.0    19
317  30.0 -30.0  50.0    19
195 -30.0  90.0  10.0    19
49  -90.0  90.0  90.0    19
182 -30.0  30.0  50.0    19
160 -30.0 -50.0  10.0    19
114 -50.0 -50.0  90.0    19
185 -30.0  50.0  10.0    19
159 -30.0 -70.0  90.0    19
72  -70.0 -10.0  50.0    19
158 -30.0 -70.0  70.0    19
392  50.0  70.0  50.0    19
133 -50.0  30.0  70.0    19
470  90.0 -10.0  10.0    19
106 -50.0 -70.0  30.0    19
436  70.0  50.0  30.0    19
371  50.0 -10.0  30.0    19
432  70.0  30.0  50.0    19
99  -70.0  90.0  90.0    19
397  50.0  90.0  50.0    19
169 -30.0 -30.0  90.0    19
150 -30.0 -90.0  10.0    19
373  50.0 -10.0  70.0    19
445  70.0  90.0  10.0    19
266  10.0 -30.0  30.0    20
354  50.0 -90.0  90.0    20
126 -50.0  10.0  30.0    20
449  70.0  90.0  90.0    20
488  90.0  50.0  70.0    20
65  -70.0 -30.0  10.0    20
68  -70.0 -30.0  70.0    20
125 -50.0  10.0  10.0    20
277  10.0  10.0  50.0    20
490  90.0  70.0  10.0    20
447  70.0  90.0  50.0    20
275  10.0  10.0  10.0    20
144 -50.0  70.0  90.0    20
74  -70.0 -10.0  90.0    20
415  70.0 -30.0  10.0    20
111 -50.0 -50.0  30.0    20
109 -50.0 -70.0  90.0    20
303  30.0 -90.0  70.0    20
288  10.0  50.0  70.0    20
426  70.0  10.0  30.0    20
301  30.0 -90.0  30.0    20
93  -70.0  70.0  70.0    20
123 -50.0 -10.0  70.0    20
325  30.0  10.0  10.0    20
429  70.0  10.0  90.0    20
391  50.0  70.0  30.0    20
475  90.0  10.0  10.0    20
179 -30.0  10.0  90.0    20
188 -30.0  50.0  70.0    20
52  -70.0 -90.0  50.0    20
360  50.0 -50.0  10.0    20
29  -90.0  10.0  90.0    20
384  50.0  30.0  90.0    20
387  50.0  50.0  50.0    20
46  -90.0  90.0  30.0    20
220 -10.0 -10.0  10.0    20
28  -90.0  10.0  70.0    20
30  -90.0  30.0  10.0    20
382  50.0  30.0  50.0    20
343  30.0  70.0  70.0    20
57  -70.0 -70.0  50.0    20
350  50.0 -90.0  10.0    20
203 -10.0 -90.0  70.0    20
204 -10.0 -90.0  90.0    20
151 -30.0 -90.0  30.0    20
300  30.0 -90.0  10.0    20
91  -70.0  70.0  30.0    20
473  90.0 -10.0  70.0    21
471  90.0 -10.0  30.0    21
494  90.0  70.0  90.0    21
422  70.0 -10.0  50.0    21
428  70.0  10.0  70.0    21
361  50.0 -50.0  30.0    21
483  90.0  30.0  70.0    21
461  90.0 -50.0  30.0    21
310  30.0 -50.0  10.0    21
346  30.0  90.0  30.0    21
345  30.0  90.0  10.0    21
412  70.0 -50.0  50.0    21
411  70.0 -50.0  30.0    21
318  30.0 -30.0  70.0    21
479  90.0  10.0  90.0    21
448  70.0  90.0  70.0    21
457  90.0 -70.0  50.0    21
489  90.0  50.0  90.0    21
402  70.0 -90.0  50.0    21
454  90.0 -90.0  90.0    21
327  30.0  10.0  50.0    21
308  30.0 -70.0  70.0    21
450  90.0 -90.0  10.0    21
0   -90.0 -90.0  10.0    21
249 -10.0  90.0  90.0    21
213 -10.0 -50.0  70.0    21
218 -10.0 -30.0  70.0    21
205 -10.0 -70.0  10.0    21
172 -30.0 -10.0  50.0    21
498  90.0  90.0  70.0    21
139 -50.0  50.0  90.0    21
251  10.0 -90.0  30.0    21
100 -50.0 -90.0  10.0    21
210 -10.0 -50.0  10.0    21
98  -70.0  90.0  70.0    21
259  10.0 -70.0  90.0    21
260  10.0 -50.0  10.0    21
73  -70.0 -10.0  70.0    21
253  10.0 -90.0  70.0    21
208 -10.0 -70.0  70.0    21
34  -90.0  30.0  90.0    21
43  -90.0  70.0  70.0    21
287  10.0  50.0  50.0    21
60  -70.0 -50.0  10.0    21
493  90.0  70.0  70.0    22
363  50.0 -50.0  70.0    22
372  50.0 -10.0  50.0    22
175 -30.0  10.0  10.0    22
143 -50.0  70.0  70.0    22
389  50.0  50.0  90.0    22
358  50.0 -70.0  70.0    22
165 -30.0 -30.0  10.0    22
154 -30.0 -90.0  90.0    22
153 -30.0 -90.0  70.0    22
398  50.0  90.0  70.0    22
357  50.0 -70.0  50.0    22
298  10.0  90.0  70.0    22
495  90.0  90.0  10.0    22
6   -90.0 -70.0  30.0    22
453  90.0 -90.0  70.0    22
136 -50.0  50.0  30.0    22
446  70.0  90.0  30.0    22
56  -70.0 -70.0  30.0    22
78  -70.0  10.0  70.0    22
81  -70.0  30.0  30.0    22
459  90.0 -70.0  90.0    22
464  90.0 -50.0  90.0    22
438  70.0  50.0  70.0    22
83  -70.0  30.0  70.0    22
87  -70.0  50.0  50.0    22
44  -90.0  70.0  90.0    22
425  70.0  10.0  10.0    22
42  -90.0  70.0  50.0    22
419  70.0 -30.0  90.0    22
410  70.0 -50.0  10.0    22
408  70.0 -70.0  70.0    22
480  90.0  30.0  10.0    22
478  90.0  10.0  70.0    22
145 -50.0  90.0  10.0    22
272  10.0 -10.0  50.0    22
261  10.0 -50.0  30.0    22
311  30.0 -50.0  30.0    22
255  10.0 -70.0  10.0    22
329  30.0  10.0  90.0    22
267  10.0 -30.0  50.0    22
240 -10.0  70.0  10.0    22
335  30.0  50.0  10.0    22
281  10.0  30.0  30.0    22
61  -70.0 -50.0  30.0    23
404  70.0 -90.0  90.0    23
462  90.0 -50.0  50.0    23
396  50.0  90.0  30.0    23
84  -70.0  30.0  90.0    23
467  90.0 -30.0  50.0    23
314  30.0 -50.0  90.0    23
245 -10.0  90.0  10.0    23
67  -70.0 -30.0  50.0    23
66  -70.0 -30.0  30.0    23
118 -50.0 -30.0  70.0    23
271  10.0 -10.0  30.0    23
113 -50.0 -50.0  70.0    23
417  70.0 -30.0  50.0    23
418  70.0 -30.0  70.0    23
252  10.0 -90.0  50.0    23
420  70.0 -10.0  10.0    23
112 -50.0 -50.0  50.0    23
94  -70.0  70.0  90.0    23
82  -70.0  30.0  50.0    23
250  10.0 -90.0  10.0    23
167 -30.0 -30.0  50.0    23
86  -70.0  50.0  30.0    23
170 -30.0 -10.0  10.0    23
168 -30.0 -30.0  70.0    23
201 -10.0 -90.0  30.0    23
306  30.0 -70.0  30.0    23
25  -90.0  10.0  10.0    23
485  90.0  50.0  10.0    23
486  90.0  50.0  30.0    23
377  50.0  10.0  50.0    23
228 -10.0  10.0  70.0    23
24  -90.0 -10.0  90.0    23
33  -90.0  30.0  70.0    23
232 -10.0  30.0  50.0    23
187 -30.0  50.0  50.0    23
207 -10.0 -70.0  50.0    23
491  90.0  70.0  30.0    23
211 -10.0 -50.0  30.0    23
279  10.0  10.0  90.0    23
14  -90.0 -50.0  90.0    24
16  -90.0 -30.0  30.0    24
328  30.0  10.0  70.0    24
443  70.0  70.0  70.0    24
482  90.0  30.0  50.0    24
324  30.0 -10.0  90.0    24
77  -70.0  10.0  50.0    24
223 -10.0 -10.0  70.0    24
63  -70.0 -50.0  70.0    24
127 -50.0  10.0  50.0    24
